"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"194","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"194","Jacory Croskey-Merritt (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.8%"
"194","Lawrance Toafili (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","LeQuint Allen Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"194","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"194","D.J. Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Nate Noel (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Donovan Edwards (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"194","RJ Harvey (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.2%"
"194","Kaleb Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.2%"
"194","Cam Skattebo (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.5%"
"194","Brashard Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.4%"
"194","Corey Kiner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"194","Kyle Monangai (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.4%"
"194","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"194","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Adam Prentice (FA)","0","0","0","0","0","0","0","4","0","0","0","0","9","0.0","0.0","0.0%"
"194","Devin Neal (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.7%"
"194","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.6%"
"194","TreVeyon Henderson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.6%"
"194","Kalel Mullings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"194","DJ Giddens (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.7%"
"194","Ulysses Bentley IV (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Marcus Major Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Dylan Sampson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.8%"
"194","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"194","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
